time_rev [s];theta_rev [deg];s_rev;time_irrev [s];theta_irrev [deg];s_irrev
0,0;188,0007380920145;0,004296913440107991;0,0;205,72810435862948;0,24158460425829284
1,0;181,34365085114692;0,040150553631992755;1,0;213,16733523482515;0,24919096249627212
2,0;174,41286359470058;0,08450401393523016;2,0;218,3887960839176;0,2879580744946253
3,0;167,69543645784714;0,1443822947347351;3,0;224,67968598273205;0,30863514372341017
4,0;161,8402286135496;0,17794878294071365;4,0;228,76261804569603;0,36188238526742456
5,0;155,62368536844502;0,19696131837021014;5,0;235,42721038575434;0,42342793744297186
6,0;150,57471790991838;0,218449130081084;6,0;238,935315330039;0,5094731368647919
7,0;145,86924312982998;0,2209599968555776;7,0;243,58402429593102;0,5997781987867906
8,0;139,49528697957962;0,20201385225398252;8,0;249,6940653588935;0,7155748328471617
9,0;134,33560144798042;0,17755203571626615;9,0;253,75021970132045;0,7889929907457557
10,0;130,10387271980764;0,13404762540227602;10,0;258,948944555501;0,8654354643808725
11,0;125,30426695140271;0,09104760370993796;11,0;264,78362266232017;0,9071283175980543
12,0;120,60516157423021;0,04674639646179068;12,0;266,32236919941215;0,9352753913618069
13,0;115,60078179735066;0,0;13,0;270,3252839283246;0,96039433684148
14,0;111,91801962330352;0,0010156930519480453;14,0;274,66887556249446;0,9726546116099188
15,0;108,28282501531233;0,0;15,0;278,4288892126864;1,0
16,0;103,13716751204383;0,0006363420561291541;16,0;281,27922169722365;1,0
17,0;99,8897801708072;0,0;17,0;284,50329114610895;1,0
18,0;95,38168473424679;0,0;18,0;288,34515468923917;1,0
19,0;92,23918348706225;0,0;19,0;291,1871284312009;1,0
20,0;88,52595716709129;0,0;20,0;292,810337015744;1,0
21,0;86,2310002401094;0,0;21,0;296,3230418949385;1,0
22,0;82,47113748825718;0,0;22,0;299,0515330554778;1,0
23,0;80,36809980081352;0,0;23,0;300,7090185065326;1,0
24,0;77,38316126732578;0,0;24,0;304,18655789896593;1,0
25,0;74,36675432625034;0,0;25,0;305,6193921921372;1,0
26,0;70,26083688482231;0,0;26,0;309,3155124747886;1,0
27,0;68,83811920272318;0,0;27,0;310,83306428953983;1,0
28,0;66,61755896303377;0,0;28,0;312,8039454818526;1,0
29,0;64,29140199255217;0,0;29,0;314,22950047796985;1,0
30,0;60,97020024858301;0,0;30,0;316,4968686275684;1,0
31,0;59,351399316410316;0,0;31,0;316,80588397895343;1,0
32,0;56,882526787844945;0,0;32,0;319,2373176156439;1,0
33,0;54,89476537864482;0,0;33,0;322,1001344896153;1,0
34,0;54,00301223938432;0,0;34,0;321,70637979801677;1,0
35,0;50,94157101028994;0,0;35,0;325,62061984000457;1,0
36,0;49,53674894278932;0,0;36,0;325,0179479966943;1,0
37,0;48,28505221902255;0,0;37,0;328,43165573962705;1,0
38,0;45,667928606959315;0,0;38,0;328,5037054488106;1,0
39,0;44,277870431561105;0,0;39,0;331,10188321082387;1,0
40,0;42,79880953112998;0,0;40,0;331,82904252624576;1,0
41,0;41,21706426704907;0,0;41,0;331,6895715709939;1,0
42,0;38,94651900887434;0,0;42,0;335,0643577648278;1,0
43,0;38,28443302444418;0,0;43,0;336,3176348803364;1,0
44,0;37,66369901928533;0,0;44,0;336,1659954328473;1,0
45,0;34,580326526584535;0,0;45,0;337,01084712129824;1,0
